symbol,year_id,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cash_conversion_ratio
ABB,201212,101.0,-59.0,-42.0,1.0,42.0,0.696551724137931
ABB,201403,155.0,-144.0,-42.0,-31.0,11.0,0.7828282828282829
ABB,201503,215.0,-187.0,-58.0,-30.0,28.0,0.9388646288209607
ABB,201603,249.0,-77.0,-80.0,91.0,172.0,0.9764705882352941
ABB,201703,307.0,-155.0,-90.0,62.0,152.0,1.108303249097473
ABB,201803,153.0,-215.0,-102.0,-165.0,-62.0,0.38154613466334164
ABB,201903,499.0,-257.0,-143.0,99.0,242.0,1.1088888888888888
ABB,202003,626.0,-401.0,-217.0,8.0,225.0,1.0556492411467115
ABB,202103,727.0,-72.0,-582.0,73.0,655.0,1.0520984081041969
ABB,202203,948.0,-396.0,-637.0,-86.0,552.0,1.1864831038798498
ABB,202303,893.0,-148.0,-639.0,107.0,745.0,0.9409905163329821
ABB,202403,1213.0,-416.0,-745.0,52.0,797.0,1.009991673605329
ABB,201403,0.0,0.0,0.0,0.0,0.0,0.0
ABB,201503,-35.0,-1864.0,1902.0,3.0,-1899.0,-0.15283842794759825
ABB,201603,1544.0,-816.0,-722.0,6.0,728.0,6.0549019607843135
ABB,201703,2189.0,-1730.0,-455.0,4.0,459.0,7.902527075812275
ABB,201803,2198.0,-3192.0,1589.0,596.0,-994.0,5.4812967581047385
ABB,201903,2591.0,-3050.0,38.0,-421.0,-459.0,5.757777777777778
ABB,202003,5437.0,-5643.0,1250.0,1045.0,-206.0,9.168634064080944
ABB,202103,3784.0,-4009.0,-745.0,-969.0,-225.0,5.476121562952243
ABB,202203,4097.0,-3936.0,-235.0,-75.0,161.0,5.127659574468085
ABB,202303,3777.0,-4699.0,923.0,2.0,-922.0,3.9799789251844047
ABB,202403,6038.0,-4943.0,-543.0,551.0,1095.0,5.027477102414655
ADANIENSOL,201403,0.0,0.0,0.0,0.0,0.0,
ADANIENSOL,201503,-35.0,-1864.0,1902.0,3.0,-1899.0,5.0
ADANIENSOL,201603,1544.0,-816.0,-722.0,6.0,728.0,4.195652173913044
ADANIENSOL,201703,2189.0,-1730.0,-455.0,4.0,459.0,5.262019230769231
ADANIENSOL,201803,2198.0,-3192.0,1589.0,596.0,-994.0,1.9230096237970253
ADANIENSOL,201903,2591.0,-3050.0,38.0,-421.0,-459.0,4.635062611806798
ADANIENSOL,202003,5437.0,-5643.0,1250.0,1045.0,-206.0,7.701133144475921
ADANIENSOL,202103,3784.0,-4009.0,-745.0,-969.0,-225.0,2.933333333333333
ADANIENSOL,202203,4097.0,-3936.0,-235.0,-75.0,161.0,3.3147249190938513
ADANIENSOL,202303,3777.0,-4699.0,923.0,2.0,-922.0,2.9484777517564402
ADANIENSOL,202403,6038.0,-4943.0,-543.0,551.0,1095.0,5.048494983277592
ADANIENT,201303,7666.0,-14790.0,7199.0,75.0,-7124.0,6.293924466338259
ADANIENT,201403,8228.0,-8007.0,-1109.0,-888.0,221.0,3.109599395313681
ADANIENT,201503,8532.0,-11465.0,3445.0,512.0,-2933.0,3.7127937336814623
ADANIENT,201603,5112.0,-1825.0,-3448.0,-161.0,3287.0,5.112
ADANIENT,201703,774.0,-1460.0,716.0,30.0,-686.0,0.8367567567567568
ADANIENT,201803,2942.0,-7649.0,5120.0,413.0,-4707.0,4.952861952861953
ADANIENT,201903,3236.0,2487.0,-6158.0,-436.0,5723.0,6.395256916996048
ADANIENT,202003,2454.0,-1082.0,-221.0,1151.0,1372.0,2.3596153846153847
ADANIENT,202103,4043.0,-8611.0,3109.0,-1459.0,-4568.0,3.8652007648183555
ADANIENT,202203,1385.0,-17041.0,15901.0,246.0,-15656.0,1.7576142131979695
ADANIENT,202303,17626.0,-15459.0,-1198.0,970.0,2167.0,7.277456647398844
ADANIENT,202403,10312.0,-18767.0,8879.0,424.0,-8455.0,3.0920539730134933
ADANIGREEN,201703,28.0,-1511.0,1559.0,76.0,-1483.0,-0.5957446808510638
ADANIGREEN,201803,649.0,-4428.0,3942.0,162.0,-3779.0,-4.702898550724638
ADANIGREEN,201903,1625.0,-2666.0,1045.0,3.0,-1041.0,-3.4210526315789473
ADANIGREEN,202003,1965.0,-3743.0,2161.0,383.0,-1778.0,-28.897058823529413
ADANIGREEN,202103,1601.0,-9137.0,7083.0,-453.0,-7536.0,8.796703296703297
ADANIGREEN,202203,3127.0,-18730.0,15986.0,383.0,-15603.0,6.394683026584867
ADANIGREEN,202303,7265.0,-3857.0,-2973.0,435.0,3408.0,7.466598150051388
ADANIGREEN,202403,7713.0,-21060.0,13953.0,606.0,-13347.0,6.121428571428571
ADANIPORTS,201303,1379.0,-5136.0,4138.0,381.0,-3757.0,0.8413666870042709
ADANIPORTS,201303,1379.0,-5136.0,4138.0,381.0,-3757.0,0.8413666870042709
ADANIPORTS,201403,1132.0,-2510.0,772.0,-606.0,-1378.0,0.6502010338885698
ADANIPORTS,201403,1132.0,-2510.0,772.0,-606.0,-1378.0,0.6502010338885698
ADANIPORTS,201503,3057.0,-2485.0,-237.0,335.0,572.0,1.3154044750430292
ADANIPORTS,201503,3057.0,-2485.0,-237.0,335.0,572.0,1.3154044750430292
ADANIPORTS,201603,2381.0,-4153.0,2170.0,398.0,-1772.0,0.8336834733893558
ADANIPORTS,201603,2381.0,-4153.0,2170.0,398.0,-1772.0,0.8336834733893558
ADANIPORTS,201703,4063.0,-2629.0,-1325.0,109.0,1434.0,1.0412608918503332
ADANIPORTS,201703,4063.0,-2629.0,-1325.0,109.0,1434.0,1.0412608918503332
ADANIPORTS,201803,5608.0,-3846.0,-1889.0,-127.0,1762.0,1.5197831978319782
ADANIPORTS,201803,5608.0,-3846.0,-1889.0,-127.0,1762.0,1.5197831978319782
ADANIPORTS,201903,6029.0,-4368.0,2313.0,3975.0,1661.0,1.4904820766378244
ADANIPORTS,201903,6029.0,-4368.0,2313.0,3975.0,1661.0,1.4904820766378244
ADANIPORTS,202003,7402.0,-749.0,-4256.0,2397.0,6653.0,1.9556142668428005
ADANIPORTS,202003,7402.0,-749.0,-4256.0,2397.0,6653.0,1.9556142668428005
ADANIPORTS,202103,7556.0,-14064.0,3514.0,-2994.0,-6508.0,1.4965339671222024
ADANIPORTS,202103,7556.0,-14064.0,3514.0,-2994.0,-6508.0,1.4965339671222024
ADANIPORTS,202203,10420.0,-5493.0,-586.0,4341.0,4927.0,2.103775489602261
ADANIPORTS,202203,10420.0,-5493.0,-586.0,4341.0,4927.0,2.103775489602261
ADANIPORTS,202303,11900.0,-16716.0,-2734.0,-7550.0,-4816.0,2.2073826748284175
ADANIPORTS,202303,11900.0,-16716.0,-2734.0,-7550.0,-4816.0,2.2073826748284175
ADANIPORTS,202403,15018.0,-6768.0,-7800.0,450.0,8250.0,1.8531589338598222
ADANIPORTS,202403,15018.0,-6768.0,-7800.0,450.0,8250.0,1.8531589338598222
ADANIPOWER,201303,3001.0,-4064.0,861.0,-203.0,-1063.0,-1.3076252723311548
ADANIPOWER,201403,3238.0,-4700.0,1631.0,169.0,-1462.0,-11.127147766323024
ADANIPOWER,201503,5824.0,-4737.0,-1144.0,-58.0,1087.0,-7.137254901960785
ADANIPOWER,201603,5257.0,-2692.0,-2713.0,-148.0,2565.0,9.540834845735027
ADANIPOWER,201703,4725.0,-1212.0,-3539.0,-26.0,3513.0,-0.7653061224489796
ADANIPOWER,201803,5101.0,-520.0,-4600.0,-19.0,4581.0,-2.425582501188778
ADANIPOWER,201903,5610.0,-984.0,-4663.0,-37.0,4626.0,-5.701219512195122
ADANIPOWER,202003,5598.0,-2304.0,-2377.0,917.0,3294.0,-2.4606593406593404
ADANIPOWER,202103,7014.0,-2188.0,-5655.0,-828.0,4826.0,5.522834645669291
ADANIPOWER,202203,10233.0,774.0,-10338.0,669.0,11007.0,2.0832654723127035
ADANIPOWER,202303,8431.0,1545.0,-10408.0,-433.0,9976.0,0.7859606600167801
ADANIPOWER,202403,14170.0,3481.0,-16864.0,787.0,17651.0,0.6803015027125642
AMBUJACEM,201212,1860.0,-388.0,-509.0,962.0,1472.0,1.4396284829721362
AMBUJACEM,201312,1267.0,-496.0,-672.0,99.0,771.0,0.9913928012519562
AMBUJACEM,201412,1675.0,-456.0,-721.0,498.0,1219.0,1.1264290517821116
AMBUJACEM,201512,1557.0,-83.0,-900.0,574.0,1474.0,1.926980198019802
AMBUJACEM,201612,2810.0,-4165.0,-958.0,-2312.0,-1355.0,1.9595536959553697
AMBUJACEM,201712,3416.0,-738.0,-1015.0,1663.0,2678.0,1.7562982005141388
AMBUJACEM,201812,1703.0,-765.0,-719.0,220.0,938.0,0.5728220652539522
AMBUJACEM,201912,4739.0,-1191.0,-629.0,2919.0,3548.0,1.7028386633129715
